Q1,T1,Q2,T2,Q3,T3,NOx1,PTS1,NOx2,PTS2,NOx3,PTS3,STATO1,STATO2,STATO3
57513,132.8,61031.2,132.2,165806.6,137.1,0.131001833,0.006390333,0.440780889,0.001695311,1.763997994,0.188835294,IN MARCIA,IN MARCIA,IN MARCIA
57828.1,133.3,60674.5,132.1,165526.6,137.1,0.165452619,0.009638017,0.487081403,0.001685403,0.933386106,0.20690825,IN MARCIA,IN MARCIA,IN MARCIA
57984.7,133.3,60616.4,131.9,165032.5,137,0.120801458,0.009664117,0.466409522,0.001683789,0.110021667,0.187953681,IN MARCIA,IN MARCIA,IN MARCIA
57388.1,132.9,60727.2,131.8,165125.7,137.1,0.137093794,0.012752911,0.472322667,0.001686867,1.0457961,0.188059825,IN MARCIA,IN MARCIA,IN MARCIA
57829.9,133.4,60658.2,131.7,164708.5,136.8,0.207223808,0.009638317,0.51390975,0.00168495,1.784342083,0.187584681,IN MARCIA,IN MARCIA,IN MARCIA
58324.7,133.2,60617.3,131.7,165345.6,137,0.220337756,0.009720783,0.442843053,0.001683814,1.538632667,0.206682,IN MARCIA,IN MARCIA,IN MARCIA
58803.3,133.2,60446.7,131.3,164236.9,136.7,0.2025447,0.00980055,0.444954875,0.001679075,1.441635011,0.187047581,IN MARCIA,IN MARCIA,IN MARCIA
56629.2,132.6,60459.8,131.2,163337.8,136.5,0.206067367,0.007865167,0.481998961,0.001679439,1.438280072,0.186023606,IN MARCIA,IN MARCIA,IN MARCIA
54473,132.8,60353.7,131.1,161406,135.7,0.14980075,0.006052556,0.489535567,0.001676492,1.721664,0.1838235,IN MARCIA,IN MARCIA,IN MARCIA
55587.4,133.7,64926.2,135.5,160245.3,135.5,0.177570861,0.006176378,0.461697422,0.001803506,1.050496967,0.200306625,IN MARCIA,IN MARCIA,IN MARCIA
58705.8,134.3,62742.7,137.9,156993.6,134.2,0.26906825,0.0097843,0.456627428,0.001742853,1.2167004,0.178798267,IN MARCIA,IN MARCIA,IN MARCIA
54718.2,129.4,60598,133.1,161808.9,135.7,0.24471195,0.00455985,0.473001056,0.001683278,1.204577367,0.184282358,IN MARCIA,IN MARCIA,IN MARCIA
57532.8,131.9,59977.6,131.6,162045.6,136.3,0.335608,0.006392533,0.483152889,0.001666044,1.5124256,0.184551933,IN MARCIA,IN MARCIA,IN MARCIA
55435.8,133.4,59763.4,131.1,162478.7,136.4,0.303357017,0.00461965,0.456525972,0.001660094,1.525494461,0.203098375,IN MARCIA,IN MARCIA,IN MARCIA
59948.2,134.4,59851,131.3,162544.2,136.6,0.456272411,0.004995683,0.503745917,0.001662528,1.688653633,0.185119783,FERMO,IN MARCIA,IN MARCIA
61457.3,132,60010.9,131.6,162405,136.6,0.401179597,0.005121442,0.45008175,0.001666969,1.6511175,0.18496125,FERMO,IN MARCIA,IN MARCIA
59909.4,133.2,59947.3,131.8,162542,136.4,0.3794262,0.0033283,0.497895631,0.001665203,1.684115722,0.185117278,FERMO,IN MARCIA,IN MARCIA
52633.3,131.7,60048.9,131.5,160977.9,136,0.314337764,0.002924072,0.4870633,0.001668025,1.645551867,0.201222375,FERMO,IN MARCIA,IN MARCIA
59904.4,134.6,60704.8,132.2,162347.9,136.4,0.477571189,0.004992033,0.391208711,0.001686244,1.388976478,0.184896219,FERMO,IN MARCIA,IN MARCIA
63644,131.2,60446.3,131.9,163335.1,136.8,0.733673889,0.007071556,0.493644783,0.001679064,1.615202656,0.186020531,FERMO,IN MARCIA,IN MARCIA
64866.3,134.3,59661.2,131.1,160834,135.6,0.744160608,0.007207367,0.535293544,0.001657256,1.6485485,0.183172056,FERMO,IN MARCIA,IN MARCIA
65266.7,132.4,59898.5,131,162062.6,135.9,0.75056705,0.007251856,0.460885681,0.001663847,1.737671211,0.20257825,FERMO,IN MARCIA,IN MARCIA
65676.5,133.2,59528.4,131,162100.5,136.1,0.729738889,0.009121736,0.5059914,0.001653567,1.747083167,0.184614458,FERMO,IN MARCIA,IN MARCIA
64348.5,129.9,59225.2,130.6,163210.2,136.4,0.725708083,0.007149833,0.514930211,0.001645144,1.5232952,0.185878283,FERMO,IN MARCIA,IN MARCIA
62737.4,129.1,59603.7,130.7,162866.2,136.6,0.7214801,0.005228117,0.491730525,0.001655658,1.691998856,0.185486506,FERMO,IN MARCIA,IN MARCIA
62510.9,125.2,59516.8,130.6,162042.8,136,0.720611764,0.003472828,0.466214933,0.001653244,1.512399467,0.2025535,FERMO,IN MARCIA,IN MARCIA
51277,127,59531.8,130.5,162276.5,136.1,0.717878,0.002848722,0.522556911,0.001653661,1.730949333,0.184814903,FERMO,IN MARCIA,IN MARCIA
51424,126,59449.1,130.4,162019.7,136.3,0.717079111,0.002856889,0.472290072,0.001651364,1.593193717,0.184522436,FERMO,IN MARCIA,IN MARCIA
51488.2,124.4,59475.4,130.6,163471.1,136.6,0.729416167,0.002860456,0.518757656,0.001652094,1.711905686,0.186175419,FERMO,IN MARCIA,IN MARCIA
51772.5,123.5,59810.8,130.9,162963.3,136.5,0.732005625,0.00287625,0.485132044,0.001661411,1.611525967,0.203704125,FERMO,IN MARCIA,IN MARCIA
51908.6,123.3,59055,130.3,164917,137.1,0.657508933,0.002883811,0.451114583,0.001640417,1.603359722,0.187822139,FERMO,IN MARCIA,IN MARCIA
51879.2,123.1,59726.5,130.2,166708.2,137.8,0.759453844,0.002882178,0.456244097,0.001659069,1.810636283,0.189862117,FERMO,IN MARCIA,IN MARCIA
51634.6,122.9,62267,133.1,161752,136.4,0.76161035,0.002868589,0.422031889,0.001729639,1.514178444,0.184217556,FERMO,IN MARCIA,IN MARCIA
51282.8,123.1,67647.1,138,163594.6,136.4,0.763543911,0.002849044,0.554330403,0.001879086,1.867705017,0.20449325,FERMO,IN MARCIA,IN MARCIA
51554.5,124,65378.7,140,165578,137.4,0.766157153,0.002864139,0.401352575,0.001816075,1.715572056,0.188574944,FERMO,IN MARCIA,IN MARCIA
51597.5,125,61729.2,134.9,162459.2,136.9,0.765362917,0.002866528,0.5041218,0.0017147,1.593002711,0.185022978,FERMO,IN MARCIA,IN MARCIA
51436.9,125.6,60908.6,132.9,160978.2,136.1,0.767267092,0.002857606,0.490652611,0.001691906,1.748402117,0.183336283,FERMO,IN MARCIA,IN MARCIA
54732,127.6,61406.7,133.2,158722.1,135.6,0.782971667,0.003040667,0.436669867,0.001705742,1.613674683,0.198402625,FERMO,IN MARCIA,IN MARCIA
